StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
197952								Unknown	Unknown
197953								Unknown	Unknown
198012						690	0.0452	Unknown	Unknown
198018	2019-10-17T00:00:00	RecentlySold	225000	225000	225000			Unknown	Unknown
198022								Unknown	Unknown
198024								Unknown	Unknown
198028								Unknown	Unknown
198029						690	0.0475	Unknown	Unknown
198032								Unknown	Unknown
198033								Unknown	Unknown
198034								Unknown	Unknown
198038								Unknown	Unknown
198039						690	0.0452	Unknown	Unknown
198040								Unknown	Unknown
198042								Unknown	Unknown
198047								Unknown	Unknown
198048								Unknown	Unknown
198049								Unknown	Unknown
198050								Unknown	Unknown
198051								Unknown	Unknown
198052	2019-11-21T00:00:00	RecentlySold	825000	825000	825000	690	0.0452	Unknown	Unknown
198053								Unknown	Unknown
198054						690	0.0475	Unknown	Unknown
198062								Unknown	Unknown
198219								Unknown	Unknown
198220						690	0.0452	Unknown	Unknown
198222	2019-08-22T00:00:00	RecentlySold	705000	705000	705000	690	0.0452	Unknown	Unknown
198223						690	0.0452	Unknown	Unknown
198227						690	0.0475	Unknown	Unknown
198229						690	0.0452	Unknown	Unknown
198230								Unknown	Unknown
198261								Unknown	Unknown
198262								Unknown	Unknown
198265	2019-10-10T00:00:00	RecentlySold	835000	835000	835000	690	0.0452	Unknown	Unknown
198268						690	0.0475	Unknown	Unknown
198269						690	0.0452	Unknown	Unknown
198271						690	0.0452	Unknown	Unknown
198272								Unknown	Unknown
198274						690	0.0475	Unknown	Unknown
198275						690	0.0452	Unknown	Unknown
198276	2020-02-03T00:00:00	RecentlySold	870000	870000	870000	690	0.0452	Unknown	Unknown
198278	2019-09-11T00:00:00	RecentlySold	410000	410000	410000			Unknown	Unknown
198280								Unknown	Unknown
198281								Unknown	Unknown
198282								Unknown	Unknown
198283								Unknown	Unknown
198284						690	0.0452	Unknown	Unknown
198289						690	0.0452	Unknown	Unknown
198312								Unknown	Unknown
198316								Unknown	Unknown
198317								Unknown	Unknown
198326								Unknown	Unknown
198333								Unknown	Unknown
198344								Unknown	Unknown
198345								Unknown	Unknown
198347								Unknown	Unknown
198348	2019-12-13T00:00:00	RecentlySold	375000	375000	375000			Unknown	Unknown
198373								Unknown	Unknown
198374								Unknown	Unknown
198383								Unknown	Unknown
198388								Unknown	Unknown
198391								Unknown	Unknown
198392						690	0.0452	Unknown	Unknown
198393						690	0.0452	Unknown	Unknown
198395								Unknown	Unknown
