StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
199143	Sale	1997-05-16T00:00:00	66000	PRIVATE TREATY			
199144	Sale	1995-11-17T00:00:00	66000	PRIVATE TREATY			
199145	Sale	2003-08-05T00:00:00	275000	PRIVATE TREATY			
199145	Sale	2002-03-11T00:00:00	225000	PRIVATE TREATY	44.0		
199145	Sale	1997-08-11T00:00:00	124950	PRIVATE TREATY			
199146	Sale	1997-02-12T00:00:00	45000	PRIVATE TREATY			
199147	Sale	21656	Independent Gungahlin	2018-11-07T00:00:00	812000.0	PRIVATE TREATY	46.0
199147	Sale	2016-05-18T00:00:00	132000	PRIVATE TREATY			
199147	Sale		PBR Dickson	2003-10-04T00:00:00	470000.0	Listed - not sold	28.0
199147	Sale	2000-11-09T00:00:00	220000	PRIVATE TREATY			
199147	Sale	1998-03-26T00:00:00	196000	PRIVATE TREATY			
199147	Sale	1997-07-18T00:00:00	54000	PRIVATE TREATY			
199148	Sale	1997-12-19T00:00:00	78000	PRIVATE TREATY			
199149	Rental	17238	buyMyplace	2017-07-02T00:00:00	665.0	PER WEEK	38.0
199149	Sale		Independent Property Group Gungahlin	2017-04-12T00:00:00	745000.0	AUCTION	
199149	Sale	1999-02-08T00:00:00	242000	PRIVATE TREATY			
199149	Sale	1997-08-12T00:00:00	56000	PRIVATE TREATY			
199150	Sale	1998-04-08T00:00:00	80500	PRIVATE TREATY			
199151	Sale	1997-09-01T00:00:00	155000	PRIVATE TREATY			
199152	Sale		McGrath - Projects	2017-03-18T00:00:00	795500.0	AUCTION	
199152	Sale	2000-05-10T00:00:00	265000	PRIVATE TREATY			
199152	Sale	1998-09-30T00:00:00	79000	PRIVATE TREATY			
199153	Sale	1997-07-16T00:00:00	56000	PRIVATE TREATY			
199154	Sale	1995-08-10T00:00:00	57000	PRIVATE TREATY			
199157	Sale		FN Real Estate Gungahlin	2008-07-04T00:00:00	525000.0	PRIVATE TREATY	108.0
199157	Sale	2004-09-23T00:00:00	437000	PRIVATE TREATY	19.0		
199157	Sale		Gold Creek Real Estate	2003-11-01T00:00:00	380000.0	Listed - not sold	
199157	Sale	1999-11-10T00:00:00	57000	PRIVATE TREATY			
199158	Rental		Real Estate Australia	2019-05-30T00:00:00	0.0	PER WEEK	17.0
199158	Rental		Real Estate Australia	2007-10-18T00:00:00	420.0	PER WEEK	
199158	Rental		Real Estate Australia	2007-03-16T00:00:00	410.0	PER WEEK	
199158	Sale	2002-10-04T00:00:00	276340	PRIVATE TREATY			
199158	Sale	2002-02-12T00:00:00	82000	PRIVATE TREATY			
199159	Rental	29318	Canberra Real Estate and Developments	2017-08-29T00:00:00	569.0	PER WEEK	48.0
199159	Rental	24838	Vermillion Developments Group	2016-07-28T00:00:00	580.0	PER WEEK	20.0
199159	Sale	14516	Luton Properties Woden	2014-06-16T00:00:00	553000.0	PRIVATE TREATY	114.0
199159	Sale	2003-02-19T00:00:00	330000	PRIVATE TREATY			
199160	Sale	14101	LJ Hooker Canberra City	2012-04-27T00:00:00	464000.0	PRIVATE TREATY	259.0
199160	Rental	14101	LJ Hooker Canberra City	2010-02-10T00:00:00	450.0	PER WEEK	17.0
199160	Rental	14101	LJ Hooker Canberra City	2008-11-18T00:00:00	425.0	PER WEEK	48.0
199160	Sale		RW Launceston	2004-05-15T00:00:00	429000.0	Listed - not sold	28.0
199160	Sale		R&H Gungahlin	2003-04-19T00:00:00	340000.0	Listed - not sold	
199160	Sale	2002-08-29T00:00:00	292000	PRIVATE TREATY			
199160	Sale	2002-02-12T00:00:00	80000	PRIVATE TREATY			
