StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
199143								Unknown	Unknown
199144								Unknown	Unknown
199145	2020-02-05T19:29:12.873	High	625000	735000	845000	530	0.0467	Unknown	Unknown
199146								Unknown	Unknown
199147	2020-02-05T19:29:12.873	High	690000	800000	910000	600	0.0427	Unknown	Unknown
199148								Unknown	Unknown
199149	2020-02-05T19:29:12.873	High	685000	800000	915000	600	0.0427	Unknown	Unknown
199150								Unknown	Unknown
199151	2020-02-05T19:29:12.873	High	650000	760000	870000	560	0.0435	Unknown	Unknown
199152	2020-02-05T19:29:12.873	High	675000	790000	905000	600	0.0427	Unknown	Unknown
199153								Unknown	Unknown
199154								Unknown	Unknown
199155	2020-02-12T17:27:27.64	High	580000	675000	770000	560	0.0435	Unknown	Unknown
199157	2020-02-05T19:29:12.873	High	680000	790000	900000	600	0.0427	Unknown	Unknown
199158	2020-02-05T19:29:12.873	High	585000	675000	765000	600	0.0427	Unknown	Unknown
199159	2020-02-05T19:29:12.873	High	610000	715000	820000	600	0.0427	Unknown	Unknown
199160	2020-02-05T19:29:12.873	High	605000	695000	785000	600	0.0427	Unknown	Unknown
199162	2020-02-05T19:29:12.873	High	585000	675000	765000	600	0.0427	Unknown	Unknown
199163	2020-01-22T10:30:07.47	High	570000	660000	750000	600	0.0427	Unknown	Unknown
199164	2020-02-05T19:29:12.873	High	595000	685000	775000	530	0.0467	Unknown	Unknown
199165	2020-02-05T19:29:12.873	High	580000	655000	730000	560	0.0435	Unknown	Unknown
199166	2020-02-05T19:29:12.873	High	585000	675000	765000	600	0.0427	Unknown	Unknown
199167	2020-02-05T19:29:12.873	High	650000	750000	850000	530	0.0467	Unknown	Unknown
199168	2020-02-05T19:29:12.873	High	505000	590000	675000	560	0.0435	Unknown	Unknown
199169	2020-02-05T19:29:12.873	High	535000	625000	715000	530	0.0467	Unknown	Unknown
199170	2020-02-05T19:29:12.873	High	505000	585000	665000	560	0.0435	Unknown	Unknown
199171	2020-02-05T19:29:12.873	High	525000	605000	685000	560	0.0435	Unknown	Unknown
199172	2020-02-05T19:29:12.873	High	535000	630000	725000	530	0.0467	Unknown	Unknown
199173	2020-02-05T19:29:12.873	High	525000	605000	685000	560	0.0435	Unknown	Unknown
