StreetAddressID	POI	Distance
201352	City GPO	2.4
201352	Major Shopping Centre - The Marketplace	2.4
201352	Hospital - Calvary Private Hospital	10.6
201352	Primary School - Bonner Primary School	0.2
201352	High School - Burgmann Anglican School, Gungahlin	3.0
201352	College - Gungahlin College	2.5
201352	University - University Of Canberra, Bruce	9.6
201353	City GPO	2.5
201353	Major Shopping Centre - The Marketplace	2.4
201353	Hospital - Calvary Private Hospital	10.6
201353	Primary School - Bonner Primary School	0.2
201353	High School - Burgmann Anglican School, Gungahlin	3.1
201353	College - Gungahlin College	2.5
201353	University - University Of Canberra, Bruce	9.6
201354	City GPO	2.5
201354	Major Shopping Centre - The Marketplace	2.4
201354	Hospital - Calvary Private Hospital	10.6
201354	Primary School - Bonner Primary School	0.2
201354	High School - Burgmann Anglican School, Gungahlin	3.1
201354	College - Gungahlin College	2.5
201354	University - University Of Canberra, Bruce	9.6
201356	City GPO	2.5
201356	Major Shopping Centre - The Marketplace	2.4
201356	Hospital - Calvary Private Hospital	10.7
201356	Primary School - Bonner Primary School	0.2
201356	High School - Burgmann Anglican School, Gungahlin	3.1
201356	College - Gungahlin College	2.5
201356	University - University Of Canberra, Bruce	9.6
201357	City GPO	2.5
201357	Major Shopping Centre - The Marketplace	2.5
201357	Hospital - Calvary Private Hospital	10.7
201357	Primary School - Bonner Primary School	0.1
201357	High School - Burgmann Anglican School, Gungahlin	3.2
201357	College - Gungahlin College	2.6
201357	University - University Of Canberra, Bruce	9.7
201358	City GPO	2.5
201358	Major Shopping Centre - The Marketplace	2.5
201358	Hospital - Calvary Private Hospital	10.7
201358	Primary School - Bonner Primary School	0.2
201358	High School - Burgmann Anglican School, Gungahlin	3.1
201358	College - Gungahlin College	2.6
201358	University - University Of Canberra, Bruce	9.7
201360	City GPO	2.5
201360	Major Shopping Centre - The Marketplace	2.5
201360	Hospital - Calvary Private Hospital	10.7
201360	Primary School - Bonner Primary School	0.1
201360	High School - Burgmann Anglican School, Gungahlin	3.2
201360	College - Gungahlin College	2.6
201360	University - University Of Canberra, Bruce	9.7
201361	City GPO	2.5
201361	Major Shopping Centre - The Marketplace	2.5
201361	Hospital - Calvary Private Hospital	10.7
201361	Primary School - Bonner Primary School	0.2
201361	High School - Burgmann Anglican School, Gungahlin	3.1
201361	College - Gungahlin College	2.6
201361	University - University Of Canberra, Bruce	9.7
201362	City GPO	2.5
201362	Major Shopping Centre - The Marketplace	2.5
201362	Hospital - Calvary Private Hospital	10.7
201362	Primary School - Bonner Primary School	0.1
201362	High School - Burgmann Anglican School, Gungahlin	3.2
201362	College - Gungahlin College	2.6
201362	University - University Of Canberra, Bruce	9.7
201364	City GPO	2.5
201364	Major Shopping Centre - The Marketplace	2.5
201364	Hospital - Calvary Private Hospital	10.7
201364	Primary School - Bonner Primary School	0.1
201364	High School - Burgmann Anglican School, Gungahlin	3.2
201364	College - Gungahlin College	2.6
201364	University - University Of Canberra, Bruce	9.7
201366	City GPO	2.5
201366	Major Shopping Centre - The Marketplace	2.5
201366	Hospital - Calvary Private Hospital	10.7
201366	Primary School - Bonner Primary School	0.1
201366	High School - Burgmann Anglican School, Gungahlin	3.2
201366	College - Gungahlin College	2.6
201366	University - University Of Canberra, Bruce	9.7
201367	City GPO	2.5
201367	Major Shopping Centre - The Marketplace	2.5
201367	Hospital - Calvary Private Hospital	10.7
201367	Primary School - Bonner Primary School	0.2
201367	High School - Burgmann Anglican School, Gungahlin	3.1
201367	College - Gungahlin College	2.6
201367	University - University Of Canberra, Bruce	9.6
201368	City GPO	2.5
201368	Major Shopping Centre - The Marketplace	2.5
201368	Hospital - Calvary Private Hospital	10.7
201368	Primary School - Bonner Primary School	0.2
201368	High School - Burgmann Anglican School, Gungahlin	3.1
201368	College - Gungahlin College	2.6
201368	University - University Of Canberra, Bruce	9.6
201370	City GPO	2.5
201370	Major Shopping Centre - The Marketplace	2.4
201370	Hospital - Calvary Private Hospital	10.7
201370	Primary School - Bonner Primary School	0.2
201370	High School - Burgmann Anglican School, Gungahlin	3.1
201370	College - Gungahlin College	2.6
201370	University - University Of Canberra, Bruce	9.7
201371	City GPO	2.5
201371	Major Shopping Centre - The Marketplace	2.5
201371	Hospital - Calvary Private Hospital	10.7
201371	Primary School - Bonner Primary School	0.1
201371	High School - Burgmann Anglican School, Gungahlin	3.2
201371	College - Gungahlin College	2.6
201371	University - University Of Canberra, Bruce	9.7
201374	City GPO	2.5
201374	Major Shopping Centre - The Marketplace	2.4
201374	Hospital - Calvary Private Hospital	10.7
201374	Primary School - Bonner Primary School	0.2
201374	High School - Burgmann Anglican School, Gungahlin	3.1
201374	College - Gungahlin College	2.5
201374	University - University Of Canberra, Bruce	9.7
201375	City GPO	2.5
201375	Major Shopping Centre - The Marketplace	2.5
201375	Hospital - Calvary Private Hospital	10.8
201375	Primary School - Bonner Primary School	0.2
201375	High School - Burgmann Anglican School, Gungahlin	3.2
201375	College - Gungahlin College	2.6
201375	University - University Of Canberra, Bruce	9.7
201376	City GPO	2.4
201376	Major Shopping Centre - The Marketplace	2.4
201376	Hospital - Calvary Private Hospital	10.7
201376	Primary School - Bonner Primary School	0.3
201376	High School - Burgmann Anglican School, Gungahlin	3.1
201376	College - Gungahlin College	2.5
201376	University - University Of Canberra, Bruce	9.7
201379	City GPO	2.5
201379	Major Shopping Centre - The Marketplace	2.5
201379	Hospital - Calvary Private Hospital	10.8
201379	Primary School - Bonner Primary School	0.2
201379	High School - Burgmann Anglican School, Gungahlin	3.2
201379	College - Gungahlin College	2.6
201379	University - University Of Canberra, Bruce	9.7
201380	City GPO	2.4
201380	Major Shopping Centre - The Marketplace	2.4
201380	Hospital - Calvary Private Hospital	10.7
201380	Primary School - Bonner Primary School	0.3
201380	High School - Burgmann Anglican School, Gungahlin	3.1
201380	College - Gungahlin College	2.5
201380	University - University Of Canberra, Bruce	9.7
201382	City GPO	2.4
201382	Major Shopping Centre - The Marketplace	2.4
201382	Hospital - Calvary Private Hospital	10.6
201382	Primary School - Bonner Primary School	0.3
201382	High School - Burgmann Anglican School, Gungahlin	3.1
201382	College - Gungahlin College	2.5
201382	University - University Of Canberra, Bruce	9.6
201383	City GPO	2.5
201383	Major Shopping Centre - The Marketplace	2.5
201383	Hospital - Calvary Private Hospital	10.8
201383	Primary School - Bonner Primary School	0.2
201383	High School - Burgmann Anglican School, Gungahlin	3.2
201383	College - Gungahlin College	2.6
201383	University - University Of Canberra, Bruce	9.7
201384	City GPO	2.5
201384	Major Shopping Centre - The Marketplace	2.5
201384	Hospital - Calvary Private Hospital	10.8
201384	Primary School - Bonner Primary School	0.2
201384	High School - Burgmann Anglican School, Gungahlin	3.2
201384	College - Gungahlin College	2.6
201384	University - University Of Canberra, Bruce	9.7
201385	City GPO	2.5
201385	Major Shopping Centre - The Marketplace	2.5
201385	Hospital - Calvary Private Hospital	10.7
201385	Primary School - Bonner Primary School	0.2
201385	High School - Burgmann Anglican School, Gungahlin	3.2
201385	College - Gungahlin College	2.6
201385	University - University Of Canberra, Bruce	9.7
201387	City GPO	2.5
201387	Major Shopping Centre - The Marketplace	2.5
201387	Hospital - Calvary Private Hospital	10.7
201387	Primary School - Bonner Primary School	0.2
201387	High School - Burgmann Anglican School, Gungahlin	3.2
201387	College - Gungahlin College	2.6
201387	University - University Of Canberra, Bruce	9.7
201388	City GPO	2.5
201388	Major Shopping Centre - The Marketplace	2.5
201388	Hospital - Calvary Private Hospital	10.7
201388	Primary School - Bonner Primary School	0.2
201388	High School - Burgmann Anglican School, Gungahlin	3.1
201388	College - Gungahlin College	2.6
201388	University - University Of Canberra, Bruce	9.6
201389	City GPO	2.3
201389	Major Shopping Centre - The Marketplace	2.3
201389	Hospital - Calvary Private Hospital	10.6
201389	Primary School - Bonner Primary School	0.3
201389	High School - Burgmann Anglican School, Gungahlin	3.0
201389	College - Gungahlin College	2.4
201389	University - University Of Canberra, Bruce	9.6
201391	City GPO	2.4
201391	Major Shopping Centre - The Marketplace	2.3
201391	Hospital - Calvary Private Hospital	10.6
201391	Primary School - Bonner Primary School	0.3
201391	High School - Burgmann Anglican School, Gungahlin	3.0
201391	College - Gungahlin College	2.4
201391	University - University Of Canberra, Bruce	9.6
201392	City GPO	2.5
201392	Major Shopping Centre - The Marketplace	2.5
201392	Hospital - Calvary Private Hospital	10.7
201392	Primary School - Bonner Primary School	0.3
201392	High School - Burgmann Anglican School, Gungahlin	3.2
201392	College - Gungahlin College	2.6
201392	University - University Of Canberra, Bruce	9.7
201394	City GPO	2.5
201394	Major Shopping Centre - The Marketplace	2.4
201394	Hospital - Calvary Private Hospital	10.7
201394	Primary School - Bonner Primary School	0.3
201394	High School - Burgmann Anglican School, Gungahlin	3.1
201394	College - Gungahlin College	2.5
201394	University - University Of Canberra, Bruce	9.7
201398	City GPO	2.5
201398	Major Shopping Centre - The Marketplace	2.5
201398	Hospital - Calvary Private Hospital	10.7
201398	Primary School - Bonner Primary School	0.1
201398	High School - Burgmann Anglican School, Gungahlin	3.2
201398	College - Gungahlin College	2.6
201398	University - University Of Canberra, Bruce	9.7
201399	City GPO	2.4
201399	Major Shopping Centre - The Marketplace	2.4
201399	Hospital - Calvary Private Hospital	10.6
201399	Primary School - Bonner Primary School	0.3
201399	High School - Burgmann Anglican School, Gungahlin	3.0
201399	College - Gungahlin College	2.5
201399	University - University Of Canberra, Bruce	9.6
201400	City GPO	2.4
201400	Major Shopping Centre - The Marketplace	2.4
201400	Hospital - Calvary Private Hospital	10.6
201400	Primary School - Bonner Primary School	0.2
201400	High School - Burgmann Anglican School, Gungahlin	3.1
201400	College - Gungahlin College	2.5
201400	University - University Of Canberra, Bruce	9.6
201401	City GPO	2.4
201401	Major Shopping Centre - The Marketplace	2.4
201401	Hospital - Calvary Private Hospital	10.6
201401	Primary School - Bonner Primary School	0.2
201401	High School - Burgmann Anglican School, Gungahlin	3.1
201401	College - Gungahlin College	2.5
201401	University - University Of Canberra, Bruce	9.6
201402	City GPO	2.4
201402	Major Shopping Centre - The Marketplace	2.4
201402	Hospital - Calvary Private Hospital	10.6
201402	Primary School - Bonner Primary School	0.2
201402	High School - Burgmann Anglican School, Gungahlin	3.1
201402	College - Gungahlin College	2.5
201402	University - University Of Canberra, Bruce	9.6
201403	City GPO	2.5
201403	Major Shopping Centre - The Marketplace	2.4
201403	Hospital - Calvary Private Hospital	10.7
201403	Primary School - Bonner Primary School	0.2
201403	High School - Burgmann Anglican School, Gungahlin	3.1
201403	College - Gungahlin College	2.5
201403	University - University Of Canberra, Bruce	9.6
201405	City GPO	2.5
201405	Major Shopping Centre - The Marketplace	2.4
201405	Hospital - Calvary Private Hospital	10.7
201405	Primary School - Bonner Primary School	0.2
201405	High School - Burgmann Anglican School, Gungahlin	3.1
201405	College - Gungahlin College	2.5
201405	University - University Of Canberra, Bruce	9.6
201406	City GPO	2.5
201406	Major Shopping Centre - The Marketplace	2.5
201406	Hospital - Calvary Private Hospital	10.7
201406	Primary School - Bonner Primary School	0.2
201406	High School - Burgmann Anglican School, Gungahlin	3.1
201406	College - Gungahlin College	2.6
201406	University - University Of Canberra, Bruce	9.7
201407	City GPO	2.3
201407	Major Shopping Centre - The Marketplace	2.3
201407	Hospital - Calvary Private Hospital	10.5
201407	Primary School - Bonner Primary School	0.4
201407	High School - Burgmann Anglican School, Gungahlin	2.9
201407	College - Gungahlin College	2.4
201407	University - University Of Canberra, Bruce	9.5
201408	City GPO	2.3
201408	Major Shopping Centre - The Marketplace	2.3
201408	Hospital - Calvary Private Hospital	10.5
201408	Primary School - Bonner Primary School	0.4
201408	High School - Burgmann Anglican School, Gungahlin	2.9
201408	College - Gungahlin College	2.4
201408	University - University Of Canberra, Bruce	9.5
201409	City GPO	2.3
201409	Major Shopping Centre - The Marketplace	2.3
201409	Hospital - Calvary Private Hospital	10.5
201409	Primary School - Bonner Primary School	0.4
201409	High School - Burgmann Anglican School, Gungahlin	2.9
201409	College - Gungahlin College	2.4
201409	University - University Of Canberra, Bruce	9.5
201410	City GPO	2.3
201410	Major Shopping Centre - The Marketplace	2.3
201410	Hospital - Calvary Private Hospital	10.5
201410	Primary School - Bonner Primary School	0.4
201410	High School - Burgmann Anglican School, Gungahlin	2.9
201410	College - Gungahlin College	2.4
201410	University - University Of Canberra, Bruce	9.5
201411	City GPO	2.5
201411	Major Shopping Centre - The Marketplace	2.5
201411	Hospital - Calvary Private Hospital	10.7
201411	Primary School - Bonner Primary School	0.1
201411	High School - Burgmann Anglican School, Gungahlin	3.2
201411	College - Gungahlin College	2.6
201411	University - University Of Canberra, Bruce	9.7
201412	City GPO	2.3
201412	Major Shopping Centre - The Marketplace	2.3
201412	Hospital - Calvary Private Hospital	10.5
201412	Primary School - Bonner Primary School	0.3
201412	High School - Burgmann Anglican School, Gungahlin	3.0
