StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
201352	Sale	2016-05-20T00:00:00	1700000	PRIVATE TREATY			
201354	Sale	2016-02-01T00:00:00	57500	PRIVATE TREATY			
201360	Sale		inStyle Estate Agents	2017-11-02T00:00:00	461500.0	PRIVATE TREATY	29.0
201361	Rental	14109	LJ Hooker Gungahlin	2019-06-13T00:00:00	0.0	PER WEEK	29.0
201361	Sale	14109	LJ Hooker Gungahlin	2019-04-18T00:00:00	498000.0	PRIVATE TREATY	65.0
201362	Rental	14109	LJ Hooker Gungahlin	2017-10-20T00:00:00	480.0	PER WEEK	15.0
201362	Rental		LJ Hooker Gungahlin	2017-03-12T00:00:00	480.0	PER WEEK	28.0
201362	Sale	2015-10-07T00:00:00	400000	PRIVATE TREATY			
201363	Sale	24042	Michael Potter Real Estate	2018-04-18T00:00:00	480500.0	PRIVATE TREATY	27.0
201363	Sale		LJ Hooker Gungahlin	2013-04-22T00:00:00	410000.0	PRIVATE TREATY	47.0
201364	Sale	14109	LJ Hooker Gungahlin	2019-12-10T00:00:00	475000.0	AUCTION	
201364	Rental	14109	LJ Hooker Gungahlin	2016-06-16T00:00:00	435.0	PER WEEK	27.0
201364	Sale		LJ Hooker Gungahlin	2015-04-23T00:00:00	406000.0	PRIVATE TREATY	70.0
201365	Sale	2012-06-08T00:00:00	400000	PRIVATE TREATY			
201370	Sale	21655	Independent Inner North & City	2015-11-06T00:00:00	720000.0	Listed - not sold	159.0
201370	Sale		Blandfordia Real Estate	2015-02-21T00:00:00	320000.0	AUCTION	
201371	Sale	2019-09-20T00:00:00	335000	PRIVATE TREATY			
201371	Sale	2010-12-24T00:00:00	510500	PRIVATE TREATY			
201373	Rental	18604	PRDnationwide Canberra	2018-09-19T00:00:00	580.0	PER WEEK	12.0
201373	Rental		PRD Canberra	2015-08-26T00:00:00	530.0	PER WEEK	3.0
201373	Rental	18604	PRDnationwide Canberra	2013-07-10T00:00:00	575.0	PER WEEK	84.0
201374	Sale	1277	FN Real Estate Gungahlin	2009-12-08T00:00:00	200000.0	PRIVATE TREATY	20.0
201375	Sale	17080	McGrath Estate Agents	2016-06-08T00:00:00	621000.0	PRIVATE TREATY	103.0
201377	Sale	14109	LJ Hooker Gungahlin	2014-10-21T00:00:00	449000.0	PRIVATE TREATY	52.0
201377	Sale	2010-09-02T00:00:00	185000	PRIVATE TREATY			
201378	Rental	20001	Peter Blackshaw Real Estate Queanbeyan & Jerrabomberra	2017-01-17T00:00:00	500.0	PER WEEK	13.0
201378	Rental		Peter Blackshaw Real Estate Queanbeyan & Jerrabomberra	2016-01-13T00:00:00	440.0	PER WEEK	8.0
201379	Sale	14109	LJ Hooker Gungahlin	2019-05-09T00:00:00	607000.0	PRIVATE TREATY	37.0
201381	Sale	21656	Independent Gungahlin	2014-03-19T00:00:00	477500.0	PRIVATE TREATY	20.0
201382	Rental	17080	McGrath Estate Agents	2017-04-16T00:00:00	505.0	PER WEEK	25.0
201382	Rental		McGrath - Projects	2016-08-31T00:00:00	480.0	PER WEEK	17.0
201382	Sale	2011-12-23T00:00:00	470000	PRIVATE TREATY			
201382	Rental	14109	LJ Hooker Gungahlin	2011-01-22T00:00:00	495.0	PER WEEK	
201383	Sale	2012-10-18T00:00:00	611000	PRIVATE TREATY			
201385	Rental	25429	Distinct Property Management	2018-01-17T00:00:00	510.0	PER WEEK	10.0
201385	Sale	2010-08-26T00:00:00	175000	PRIVATE TREATY			
201386	Sale	2019-06-26T00:00:00	780000	PRIVATE TREATY			
201388	Sale	2009-11-04T00:00:00	200000	PRIVATE TREATY			
201389	Sale		LJ Hooker Gungahlin	2013-04-10T00:00:00	540000.0	PRIVATE TREATY	
201391	Rental	25429	Distinct Property Management	2018-07-01T00:00:00	590.0	PER WEEK	45.0
201391	Sale	26294	Impact Properties	2018-04-27T00:00:00	601500.0	PRIVATE TREATY	65.0
201391	Rental	5669	ParkTrent Properties Group Wollongong	2011-05-25T00:00:00	570.0	PER WEEK	42.0
201391	Sale	2011-03-15T00:00:00	470000	PRIVATE TREATY			
201393	Sale	2016-12-08T00:00:00	545000	PRIVATE TREATY			
201395	Sale	2012-12-14T00:00:00	475000	PRIVATE TREATY			
201395	Sale	2012-01-15T00:00:00	475000	PRIVATE TREATY			
201397	Sale	18793	Peter Blackshaw Tuggeranong	2015-05-15T00:00:00	470000.0	PRIVATE TREATY	93.0
201397	Sale		LJH Belconnen	2009-09-16T00:00:00	410000.0	PRIVATE TREATY	95.0
201399	Rental		Cream Residential	2019-06-17T00:00:00	595.0	PER WEEK	54.0
201399	Sale	2011-11-11T00:00:00	459000	PRIVATE TREATY			
201400	Sale	14109	LJ Hooker Gungahlin	2012-04-30T00:00:00	460000.0	PRIVATE TREATY	18.0
201400	Sale		FN Real Estate Gungahlin	2009-07-09T00:00:00	162000.0	PRIVATE TREATY	78.0
