StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
204001	BR-1899-NG	520000	2010-11-30					False	False	6	3	2	House	House	2	3	406
204002	NV-0933-MD	685000	2018-09-28					False	False	7	3	2	House	House	2	4	467
204003	YF-0373-ZE	220000	2007-08-29	Peter Blackshaw Real Estate Gungahlin	660	2018	23	True	False	8	3	2	House	House	3	4	389
204004	FV-6430-TP	560000	2012-09-28					False	False	9	3	2	House	House	2	3	478
204005	EI-0940-PL	860000	2019-05-29					False	False	22	3	2	House	House	2	4	
204006	BQ-5638-GI	630000	2015-08-08					False	False	10	3	2	House	House	2	4	506
204007	RR-0743-XG	781000	2019-08-16					False	False	11	3	2	House	House	2	4	613
204008	SF-5484-VW	425000	2013-12-13					False	False	1	5		House	House			426
204009	SB-1352-ZT	515000	2019-02-13	Elders Real Estate Belconnen	420	2015	54	False	False	24	5	1	House	House	1	3	324
204010	BD-2518-JT	460000	2015-06-29					False	False	23	5	1	House	House	1	3	316
204011	QL-4996-KO	420750	2010-05-13					False	False	22	5	1	House	House	1	3	356
204012	UX-2716-GA	685000	2011-03-23					False	False	1	6	2	House	House	2	4	485
204013	NK-8651-BV	172500	2007-06-28					False	False	2	6		House	House			393
204014	WV-1505-MD	518000	2009-08-17	Pal Property Management	565	2016	7	True	False	21	5	2	House	House	2	4	445
204015	TS-5255-QG	205000	2006-12-07					False	False	3	6		Land	Land			471
204016	NG-9598-AH	630000	2008-04-29	McGrath Estate Agents Property Management	650	2019	36	True	False	20	5	2	House	House	2	4	516
204017	OT-5321-BX	185000	2009-04-14					False	False	4	6	2	Land	Land	2	3	393
204018	TI-5755-XD	800000	2015-08-10					False	False	2	3	2	House	House	3	4	478
204019	TN-8655-GE	920000	2015-10-02					False	False	19	5	2	House	House	2	4	593
204020	TO-6891-JR	605500	2018-03-02					False	False	5	6	1	House	House	2	3	342
204021	NU-7712-UL	199000	2006-12-04					False	False	18	5		Land	Land			474
204022	OO-9775-QU	520000	2014-08-05					False	False	6	6	2	House	House	2	3	336
204023	HP-7991-IW	575000	2008-04-17					False	False	17	5		House	House			393
204024	NU-3219-XK	556000	2009-03-03					False	False	7	6	2	House	House	3	4	374
204025	JB-4026-VN	612000	2012-12-20					False	False	16	5	2	House	House	2	4	471
204026	BC-0330-DU	495000	2014-08-29					False	False	8	6	1	House	House	2	4	322
204027	HP-9409-QG	575000	2008-07-14	Key Real Estate ACT	700	2017	49	True	False	15	5	2	House	House	2	4	393
204028	JO-8774-JH	230000	2008-10-16					False	False	9	6	2	Land	Land	2	4	359
204029	JO-9345-RM	630000	2015-01-16					False	False	14	5		House	House			418
204030	FJ-9330-SA	143000	2007-06-27	McGrath Estate Agents	465	2017	38	True	False	10	6	1	House	House	2	3	335
204032	PG-1176-VA	935000	2017-05-02					False	False	11	6	2	House	House	3	4	675
204033	WA-3224-YB	770000	2016-09-10	Real Estate Australia	675	2010	3	False	False	3	3	2	House	House	3	4	396
204034	OO-0134-XA	167000	2007-06-04					False	False	4	3	2	House	House	2	3	401
204035	LE-2018-LJ							False	True				Unit	Unit			
204036	XO-1835-TB							False	False				House	House			
204037	ZE-3621-BO	930000	2017-05-02	Luton Properties Gungahlin	745	2016	12	False	False	20	66	2	House	House	2	4	716
204038	ZC-0041-CY	288000	2009-09-25					False	False	19	66		Land	Land			623
204040	RC-2560-LR							False	False				House	House			
204041	JQ-3207-OI							False	False				House	House			
204042	RT-8424-VL							False	False				House	House			
204043	YO-6995-XS							False	False			2	House	House	2	4	
204044	XD-6755-JA	309000	2010-02-11					False	False	35	60		Land	Land			567
204045	VE-6489-XQ	690000	2016-08-19					False	False	34	60	2	House	House	2	4	441
204046	XE-6945-NT	599000	2011-04-13					False	False	33	60	2	House	House	2	4	441
204047	XF-1111-WZ	800000	2017-07-14	Sadil Quinlan Properties	750	2018		True	False	32	60	2	House	House	3	4	567
204048	YQ-3360-IN	310000	2010-03-25					False	False	28	59	2	House	House	2	4	602
204049	XF-5980-HS	737500	2013-03-01					False	False	31	60		House	House			567
204050	IH-8319-CT							False	False			2	House	House	2	4	
204051	YY-3858-TH	840000	2018-08-14					False	False	11	66	2	House	House	2	4	558
204052	BI-3528-JO	285000	2009-12-23					False	False	29	59		Land	Land			
204053	YU-8205-SO	310000	2009-12-22					False	False	30	60		Land	Land			710
204054	CD-4593-MV	713000	2014-10-31					False	False	30	59		House	House			505
204055	WV-5875-CI							False	False				House	House			
204056	BE-5845-MJ	309000	2010-02-01					False	False	31	59		Land	Land			564
204057	YQ-0983-BP	292000	2010-04-16					False	False	32	59		Land	Land			505
204058	YT-0656-FW	700000	2016-02-13					False	False	33	59	2	House	House	2	4	505
204059	PN-2403-KO							False	False			2	House	House	2	4	
204060	QZ-4270-YF	289000	2010-02-16	LJ Hooker Gungahlin	0	2019	8	True	False	34	59	2	House	House	2	4	508
204061	WQ-9117-LE		2020-01-02					False	False	17	59	2	House	House	2	3	
204062	BI-4835-EG	354000	2010-05-06					False	False	18	59		Land	Land			693
204063	WQ-8479-UN	364000	2010-01-20					False	False	19	59		Land	Land			836
204064	JJ-5559-JX	520500	2011-09-29	Luton Properties - Gungahlin	745	2015	5	True	False	20	59	2	House	House	2	4	649
204065	KQ-2115-TH	374000	2016-03-23					False	True	2	67	2	Unit	Unit	2	4	
204066	ZC-4945-MP	305000	2009-11-27					False	False	10	66		Land	Land			558
204067	XE-3401-UY		2017-04-29					False	False	21	59	2	House	House	1	4	
204068	YO-0983-OJ							False	False	22	59	2	House	House	2	5	623
204069	YR-1976-MO	337000	2009-12-22					False	False	23	59		Land	Land			623
204070	YR-0789-YO	835000	2016-07-15					False	False	24	59	2	House	House	2	5	558
204071	YQ-7453-RP	325000	2010-02-09					False	False	25	59		Land	Land			558
204072	VM-8427-UV							False	False			2	House	House	2	4	
204073	JL-1234-SL	670500	2013-11-21					False	False	26	59		House	House			601
204074	YT-6779-SF	326000	2009-12-18					False	False	27	59		Land	Land			633
