StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
204001	2020-02-12T17:27:27.64	High	635000	735000	835000	570	0.049	Unknown	Unknown
204002	2020-02-05T19:29:12.873	High	600000	700000	800000	660	0.0422	Unknown	Unknown
204003	2020-02-12T17:27:27.64	High	750000	880000	1010000	660	0.0422	Unknown	Unknown
204004	2020-02-12T17:27:27.64	High	735000	850000	965000	570	0.049	Unknown	Unknown
204005	2020-02-12T17:27:27.64	High	760000	880000	1000000	660	0.0422	Unknown	Unknown
204006	2020-02-12T17:27:27.64	High	715000	830000	945000	660	0.0422	Unknown	Unknown
204007	2020-02-12T17:27:27.64	High	690000	800000	910000	660	0.0422	Unknown	Unknown
204008	2020-02-12T17:27:27.64	High	480000	565000	650000	630	0.0419	Unknown	Unknown
204009	2020-02-05T19:29:12.873	High	450000	520000	590000	570	0.049	Unknown	Unknown
204010	2020-02-12T17:27:27.64	Medium	520000	610000	700000	570	0.049	Unknown	Unknown
204011	2020-02-12T17:27:27.64	High	495000	580000	665000	570	0.049	Unknown	Unknown
204012	2020-02-12T17:27:27.64	High	640000	740000	840000	660	0.0422	Unknown	Unknown
204013	2020-02-12T17:27:27.64	Medium	615000	715000	815000	630	0.0419	Unknown	Unknown
204014	2020-02-12T17:27:27.64	High	675000	780000	885000	660	0.0422	Unknown	Unknown
204015								Unknown	Unknown
204016	2020-02-12T17:27:27.64	High	725000	840000	955000	660	0.0422	Unknown	Unknown
204017								Unknown	Unknown
204018	2020-02-12T17:27:27.64	High	790000	920000	1050000	660	0.0422	Unknown	Unknown
204019	2020-02-12T17:27:27.64	High	745000	860000	975000	660	0.0422	Unknown	Unknown
204020	2020-02-05T19:29:12.873	High	625000	725000	825000	570	0.049	Unknown	Unknown
204021								Unknown	Unknown
204022	2020-02-12T17:27:27.64	High	630000	730000	830000	570	0.049	Unknown	Unknown
204023	2020-02-12T17:27:27.64	High	635000	735000	835000	630	0.0419	Unknown	Unknown
204024	2020-02-12T17:27:27.64	High	750000	880000	1010000	660	0.0422	Unknown	Unknown
204025	2020-02-12T17:27:27.64	High	745000	860000	975000	660	0.0422	Unknown	Unknown
204026	2020-02-12T17:27:27.64	High	640000	740000	840000	660	0.0422	Unknown	Unknown
204027	2020-02-12T17:27:27.64	High	660000	770000	880000	660	0.0422	Unknown	Unknown
204028								Unknown	Unknown
204029	2020-02-12T17:27:27.64	High	670000	780000	890000	630	0.0419	Unknown	Unknown
204030	2020-02-12T17:27:27.64	Medium	615000	710000	805000	570	0.049	Unknown	Unknown
204032	2020-02-12T17:27:27.64	High	820000	960000	1100000	660	0.0422	Unknown	Unknown
204033	2020-02-12T17:27:27.64	High	755000	870000	985000	660	0.0422	Unknown	Unknown
204034	2020-02-12T17:27:27.64	High	725000	840000	955000	570	0.049	Unknown	Unknown
204035	2020-02-05T19:29:12.873	High	505000	590000	675000	565	0.0529	Unknown	Unknown
204036	2020-02-12T17:27:27.64	Low	640000	750000	860000	630	0.0419	Unknown	Unknown
204037	2020-02-12T17:27:27.64	Medium	770000	900000	1030000	660	0.0422	Unknown	Unknown
204038								Unknown	Unknown
204040	2020-02-12T17:27:27.64	Low	690000	800000	910000	630	0.0419	Unknown	Unknown
204041	2020-02-12T17:27:27.64	High	690000	810000	930000	630	0.0419	Unknown	Unknown
204042	2020-02-12T17:27:27.64	Low	650000	755000	860000	630	0.0419	Unknown	Unknown
204043						660	0.0422	Unknown	Unknown
204044								Unknown	Unknown
204045	2020-02-12T17:27:27.64	Low	610000	715000	820000	660	0.0422	Unknown	Unknown
204046	2020-02-12T17:27:27.64	Medium	710000	825000	940000	660	0.0422	Unknown	Unknown
204047	2020-02-12T17:27:27.64	Medium	720000	835000	950000	660	0.0422	Unknown	Unknown
204048	2020-02-12T17:27:27.64	Low	670000	780000	890000	660	0.0422	Unknown	Unknown
204049	2020-02-12T17:27:27.64	Low	700000	820000	940000	630	0.0419	Unknown	Unknown
204050						660	0.0422	Unknown	Unknown
204051	2020-02-05T19:29:12.873	High	740000	860000	980000	660	0.0422	Unknown	Unknown
204052								Unknown	Unknown
204053								Unknown	Unknown
204054	2020-02-12T17:27:27.64	Medium	710000	825000	940000	630	0.0419	Unknown	Unknown
204055	2020-02-12T17:27:27.64	Low	605000	710000	815000	630	0.0419	Unknown	Unknown
204056								Unknown	Unknown
204057								Unknown	Unknown
204058	2020-02-12T17:27:27.64	Low	650000	760000	870000	660	0.0422	Unknown	Unknown
204059						660	0.0422	Unknown	Unknown
204060	2020-02-12T17:27:27.64	Low	685000	790000	895000	660	0.0422	Unknown	Unknown
204061	2020-02-12T17:27:27.64	High	770000	900000	1030000	570	0.049	Unknown	Unknown
204062								Unknown	Unknown
204063								Unknown	Unknown
204064	2020-02-05T19:29:12.873	High	840000	980000	1120000	660	0.0422	Unknown	Unknown
204065	2020-02-05T19:29:12.873	Medium	400000	465000	530000			Unknown	Unknown
204066								Unknown	Unknown
204067	2020-02-12T17:27:27.64	Low	680000	790000	900000	660	0.0422	Unknown	Unknown
204068	2020-02-05T19:29:12.873	High	900000	1040000	1180000			Unknown	Unknown
204069								Unknown	Unknown
204070	2020-02-12T17:27:27.64	Medium	780000	910000	1040000			Unknown	Unknown
204071								Unknown	Unknown
204072						660	0.0422	Unknown	Unknown
204073	2020-02-12T17:27:27.64	Medium	690000	800000	910000	630	0.0419	Unknown	Unknown
204074								Unknown	Unknown
204075								Unknown	Unknown
204076								Unknown	Unknown
204077	2020-02-05T19:29:12.873	Medium	415000	485000	555000	565	0.0529	Unknown	Unknown
204078	2019-08-22T00:00:00	RecentlySold	555000	555000	555000	565	0.0529	Unknown	Unknown
204079	2020-02-12T17:27:27.64	Medium	635000	745000	855000	570	0.049	Unknown	Unknown
204080	2020-02-12T17:27:27.64	High	600000	700000	800000	660	0.0422	Unknown	Unknown
204081	2020-02-12T17:27:27.64	High	570000	670000	770000	660	0.0422	Unknown	Unknown
204082	2020-02-12T17:27:27.64	High	600000	700000	800000	660	0.0422	Unknown	Unknown
204083	2020-02-12T17:27:27.64	High	685000	800000	915000	660	0.0422	Unknown	Unknown
204084	2020-02-05T19:29:12.873	High	495000	580000	665000	565	0.0529	Unknown	Unknown
204085	2020-02-05T19:29:12.873	High	490000	570000	650000	570	0.049	Unknown	Unknown
204086	2020-02-12T17:27:27.64	Low	655000	760000	865000	630	0.0419	Unknown	Unknown
204087	2020-02-12T17:27:27.64	High	725000	840000	955000	630	0.0419	Unknown	Unknown
204088	2020-02-12T17:27:27.64	Low	625000	735000	845000	630	0.0419	Unknown	Unknown
204089	2020-02-12T17:27:27.64	Medium	710000	825000	940000	660	0.0422	Unknown	Unknown
204090	2020-02-12T17:27:27.64	High	705000	820000	935000	660	0.0422	Unknown	Unknown
204091	2020-02-12T17:27:27.64	High	725000	840000	955000	660	0.0422	Unknown	Unknown
204092	2019-09-06T00:00:00	RecentlySold	740000	740000	740000	630	0.0419	Unknown	Unknown
204093	2020-02-12T17:27:27.64	High	570000	660000	750000	660	0.0422	Unknown	Unknown
204094	2020-02-12T17:27:27.64	High	560000	650000	740000	660	0.0422	Unknown	Unknown
204095								Unknown	Unknown
204096	2020-02-12T17:27:27.64	High	750000	870000	990000	660	0.0422	Unknown	Unknown
204097	2020-02-12T17:27:27.64	High	545000	635000	725000	570	0.049	Unknown	Unknown
204098								Unknown	Unknown
204099	2020-02-12T17:27:27.64	High	660000	770000	880000	570	0.049	Unknown	Unknown
204100								Unknown	Unknown
204101	2020-02-12T17:27:27.64	High	660000	770000	880000	660	0.0422	Unknown	Unknown
204102	2020-02-12T17:27:27.64	High	700000	810000	920000	630	0.0419	Unknown	Unknown
204103	2020-02-12T17:27:27.64	High	640000	740000	840000	660	0.0422	Unknown	Unknown
204104	2020-02-12T17:27:27.64	High	900000	1050000	1200000	660	0.0422	Unknown	Unknown
204105	2020-02-12T17:27:27.64	High	780000	910000	1040000	630	0.0419	Unknown	Unknown
204106	2020-02-12T17:27:27.64	High	730000	850000	970000	660	0.0422	Unknown	Unknown
