StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
205936	VU-8112-SG							False	False				House	House			
205937	BF-6787-GA	725000	2017-12-20					False	True	1	163	2	Unit	Unit	2	4	
205938	XR-2238-AF	649000	2015-02-27					False	True	1	163		Unit	Unit			
205939	TY-0522-RU	800000	2008-02-20					False	False	15	41	4	House	House	2	5	1225
205940	RK-1304-FX	585000	2007-11-20					False	False	14	41		House	House			923
205941	CJ-5962-PE	565000	2008-05-19					False	False	13	41		House	House			771
205942	VS-7569-DV	335000	2005-11-19					False	False	12	41	2	House	House	2	5	
205943	BZ-5724-BD							False	False				House	House			
205944	NO-9397-EJ	790000	2016-09-16					False	True	1	163		Unit	Unit			
205945	ON-9342-JO							False	False				House	House			
205946	PG-4997-AJ							False	False	18	42		House	House			1155
205947	CJ-2540-TI	675000	2014-03-05					False	False	17	42	2	House	House	2	5	909
205948	FH-5166-SI	235000	2006-07-05					False	False	16	42		House	House			853
205949	PE-3824-KG	950000	2011-04-15					False	False	15	42	2	House	House	2	4	644
205950	OK-1063-OM	760000	2017-03-14					False	True	1	163		Unit	Unit			
205951	FH-6491-LA	560000	2008-05-15					False	False	19	41		House	House			734
205952	VO-5450-WC	575000	2009-03-11					False	False	14	42		House	House			890
205953	SM-5344-UW	600000	2010-02-02					False	False	13	42		House	House			951
205954	BY-5662-EC	565000	2009-04-02					False	False	12	42		House	House			797
205955	CC-1200-JX	565000	2009-02-16					False	False	11	42		House	House			731
205956	HI-7713-GK							False	False			3	House	House	3	5	
205957	IX-6135-PI	800000	2019-03-12					False	True	1	163	2	Unit	Unit	3	5	
205958	VE-1085-DQ							False	False				House	House			
205960	RL-1204-TK	675000	2016-09-30					False	True	1	163		Unit	Unit			
205961	CJ-3013-BX	540000	2008-06-19					False	False	18	41		House	House			756
205962	VO-4224-FA	610000	2016-08-22					False	True	1	163		Unit	Unit			
205963	BY-4903-UO	650000	2018-02-23					False	True	1	163	2	House	Townhouse	2	4	
205964	WD-6931-OX	314000	2005-11-19					False	False	17	41		House	House			1257
205965	XT-2328-ZY	593000	2014-10-15					False	True	1	163		Unit	Unit			
205966	WZ-2384-PW	599900	2014-10-02					False	True	1	163		Unit	Unit			
205967	VR-6433-SJ	312000	2005-11-19					False	False	16	41		House	House			1396
205968	OR-5941-OE	550000	2017-01-25					False	True	1	147	2	Unit	Unit	2	3	
205969	PJ-6081-JF	530000	2014-05-13					False	True	1	147		Unit	Unit			
205970	EQ-6543-SH	530000	2014-06-26					False	True	1	147		Unit	Unit			
205971	KB-2943-FO	519000	2014-05-06					False	True	1	147		Unit	Unit			
205972	KQ-3473-FX	337000	2012-03-27					False	False	12	145		House	House			
205973	VN-6046-JP							False	False	13	145		House	House			250
205974	YR-9959-ZP	337000	2012-04-05					False	False	14	145		House	House			
205975	WI-4881-WH			McGrath Estate Agents	450	2017	22	False	False	15	145	1	House	House	1	3	
205976	KC-3869-HW	510000	2014-05-28	Bolton & Co Gungahlin	535	2018	4	True	True	1	147	2	Unit	Unit	2	3	
205977	NS-7954-VV							False	False				House	House			
205978	XP-7025-WG							False	False	16	145		House	House			
205979	MV-3385-QJ	337000	2012-03-29	LJ Hooker Gungahlin	480	2018	11	True	False	17	145	1	House	House	1	3	250
205980	TW-5208-VP	457000	2017-03-16					False	False	11	143	1	House	House	1	3	250
205981	FE-8061-KQ	425000	2015-02-18					False	False	12	143		House	House			250
205983	ML-3839-WK	485000	2016-04-01					False	True	1	147	2	Unit	Unit	2	3	
205985	KC-0651-OO	175000	2012-03-28					False	False	13	143		Land	Land			
205986	FF-7851-FI	238000	2014-01-28	White Rhino Property	550	2015	14	True	False	8	142	2	House	House	2	4	432
205987	TJ-4972-AL	330000	2014-04-10					False	False	14	143		Land	Land			539
205988	OP-4615-VI	700000	2017-09-11					False	False	7	142		House	House			405
205989	FF-3730-UQ	30800	2014-01-07					False	False	15	143		Land	Land			330
205990	PC-8819-GR			Independent Property Management	670	2017	25	False	False			2	House	House	2	4	
205991	GV-5860-JM	231001	2012-07-16	Distinct Property Management	530	2018	16	True	False	16	143	1	House	House	2	3	
205992	YR-7466-WQ	253000	2011-03-30					False	False	5	142		House	House			450
205993	YR-7738-FX	225000	2012-08-16					False	False	17	143		Land	Land			330
205994	FF-5700-SE	213000	2011-03-30					False	False	4	142		House	House			
205995	JW-2862-SE							False	True	1	147	0	Unit	Unit	2	3	
205996	IU-0104-KS							False	False				House	House			405
205997	EZ-2208-TV	569500	2013-06-17					False	False	18	143	2	House	House	2	5	405
205998	KA-8745-RE	233000	2011-03-29					False	False	3	142		House	House			
205999	KC-5767-CK	671000	2015-03-20					False	False	19	143	2	House	House	2	4	539
