StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
209208	Sale	2017-04-26T00:00:00	490000	PRIVATE TREATY			
209210	Sale	2016-11-30T00:00:00	348000	PRIVATE TREATY			
209214	Sale	21656	Independent Gungahlin	2019-12-20T00:00:00	448000.0	PRIVATE TREATY	140.0
209215	Rental		Carter & Co Projects	2019-05-08T00:00:00	480.0	PER WEEK	7.0
209215	Sale	2016-12-14T00:00:00	348000	PRIVATE TREATY			
209218	Sale	2017-10-13T00:00:00	480000	PRIVATE TREATY			
209219	Sale	2016-11-09T00:00:00	348000	PRIVATE TREATY			
209223	Sale	2016-11-08T00:00:00	348000	PRIVATE TREATY			
209227	Sale	2017-05-30T00:00:00	465600	PRIVATE TREATY			
209228	Rental	31947	Perspective Property Management & Maintenance Pty Ltd	2019-07-11T00:00:00	0.0	PER WEEK	14.0
209228	Sale	2016-10-24T00:00:00	348000	PRIVATE TREATY			
209232	Sale	2017-04-10T00:00:00	485000	PRIVATE TREATY			
209233	Rental		Luton Properties Canberra City	2018-11-28T00:00:00	480.0	PER WEEK	
209233	Sale	2016-10-25T00:00:00	348000	PRIVATE TREATY			
209237	Sale	2017-04-03T00:00:00	348000	PRIVATE TREATY			
209238	Sale	2016-10-17T00:00:00	348000	PRIVATE TREATY			
209242	Sale	2017-07-10T00:00:00	348000	PRIVATE TREATY			
209246	Sale	2017-07-07T00:00:00	426980	PRIVATE TREATY			
209250	Sale	2017-04-12T00:00:00	425000	PRIVATE TREATY			
209254	Sale	2017-05-16T00:00:00	348000	PRIVATE TREATY			
209255	Sale	2016-10-14T00:00:00	348000	PRIVATE TREATY			
209259	Sale	2017-05-02T00:00:00	348000	PRIVATE TREATY			
209263	Sale	2017-08-04T00:00:00	360000	PRIVATE TREATY			
209265	Sale	2017-09-20T00:00:00	435000	PRIVATE TREATY			
209267	Sale	2017-10-26T00:00:00	435000	PRIVATE TREATY			
209268	Sale	2017-02-02T00:00:00	439900	PRIVATE TREATY			
209270	Sale	2017-07-14T00:00:00	360000	PRIVATE TREATY			
209271	Rental		RentBetter	2019-06-24T00:00:00	530.0	PER WEEK	28.0
209271	Sale	2017-03-06T00:00:00	435900	PRIVATE TREATY			
209272	Rental	27748	Harcourts Belconnen	2019-06-28T00:00:00	0.0	PER WEEK	3.0
209273	Sale	2017-07-04T00:00:00	360000	PRIVATE TREATY			
209274	Sale	2017-02-16T00:00:00	435900	PRIVATE TREATY			
209276	Sale	2017-07-11T00:00:00	425000	PRIVATE TREATY			
209278	Sale	2016-11-04T00:00:00	439900	PRIVATE TREATY			
209280	Sale	2017-06-16T00:00:00	430000	PRIVATE TREATY			
209281	Sale	2017-01-31T00:00:00	440900	PRIVATE TREATY			
209282	Sale	14109	LJ Hooker Gungahlin	2019-11-27T00:00:00	405000.0	PRIVATE TREATY	40.0
209283	Sale	2017-03-31T00:00:00	449900	PRIVATE TREATY			
209285	Sale	2016-11-18T00:00:00	444900	PRIVATE TREATY			
209287	Rental	17080	McGrath Estate Agents	2018-11-28T00:00:00	490.0	PER WEEK	48.0
209287	Sale	2016-12-13T00:00:00	348000	PRIVATE TREATY			
209291	Sale	2017-08-31T00:00:00	460000	PRIVATE TREATY			
209292	Sale	2018-08-03T00:00:00	529900	PRIVATE TREATY			
209293	Rental		LJ Hooker Gungahlin	2020-02-11T00:00:00	450.0	PER WEEK	
209295	Sale		Luton Properties Gungahlin	2019-03-18T00:00:00	510000.0	PRIVATE TREATY	34.0
209298	Sale	2016-10-20T00:00:00	440900	PRIVATE TREATY			
209300	Sale	2016-11-21T00:00:00	509900	PRIVATE TREATY			
209301	Sale	24012	Blewitt Properties	2019-01-30T00:00:00	550000.0	PRIVATE TREATY	47.0
209301	Sale	2017-09-22T00:00:00	494900	PRIVATE TREATY			
209304	Sale	2016-11-09T00:00:00	445900	PRIVATE TREATY			
209306	Rental	25465	Independent Property Management	2019-12-03T00:00:00	0.0	PER WEEK	27.0
209306	Sale	2016-10-07T00:00:00	445900	PRIVATE TREATY			
209310	Sale	2016-12-06T00:00:00	348000	PRIVATE TREATY			
209314	Sale	2018-03-05T00:00:00	396370	PRIVATE TREATY			
209315	Sale	2016-10-06T00:00:00	439900	PRIVATE TREATY			
209317	Sale	2016-11-23T00:00:00	434900	PRIVATE TREATY			
209318	Sale	2017-04-24T00:00:00	449900	PRIVATE TREATY			
209320	Sale	2017-04-18T00:00:00	444900	PRIVATE TREATY			
209321	Sale	2016-10-25T00:00:00	434900	PRIVATE TREATY			
209323	Sale	2016-11-29T00:00:00	435900	PRIVATE TREATY			
209324	Sale	2016-10-13T00:00:00	439900	PRIVATE TREATY			
209326	Sale	2017-02-06T00:00:00	447900	PRIVATE TREATY			
209327	Sale	2016-12-21T00:00:00	437900	PRIVATE TREATY			
209330	Sale	2017-02-02T00:00:00	348000	PRIVATE TREATY			
209334	Sale	2019-07-10T00:00:00	485000	PRIVATE TREATY			
209335	Sale	2017-02-13T00:00:00	447900	PRIVATE TREATY			
209338	Sale	2016-12-23T00:00:00	449900	PRIVATE TREATY			
209339	Sale	2016-10-25T00:00:00	296000	PRIVATE TREATY			
209340	Sale	2017-05-16T00:00:00	445900	PRIVATE TREATY			
209341	Sale	2017-04-07T00:00:00	432900	PRIVATE TREATY			
209342	Sale	2017-05-05T00:00:00	435900	PRIVATE TREATY			
209343	Sale	2018-10-20T00:00:00	425900	PRIVATE TREATY			
209344	Sale	2016-10-28T00:00:00	348000	PRIVATE TREATY			
209348	Sale	2017-08-28T00:00:00	430000	PRIVATE TREATY			
209350	Sale	17080	McGrath Estate Agents	2019-11-08T00:00:00		PRIVATE TREATY	14.0
209350	Sale	2016-12-02T00:00:00	348000	PRIVATE TREATY			
209354	Sale	2019-08-09T00:00:00	488000	PRIVATE TREATY			
209355	Sale	2017-01-16T00:00:00	348000	PRIVATE TREATY			
209359	Sale	2017-07-04T00:00:00	400000	PRIVATE TREATY			
209360	Sale	10282	Property Now	2020-01-18T00:00:00		PRIVATE TREATY	58.0
209360	Sale	2016-12-19T00:00:00	348000	PRIVATE TREATY			
209364	Sale	2017-09-04T00:00:00	450000	PRIVATE TREATY			
209367	Sale	26294	Impact Properties	2016-01-27T00:00:00	598000.0	PRIVATE TREATY	54.0
209368	Sale	25211	Propertyentourage.com	2016-03-27T00:00:00	729000.0	Listed - not sold	390.0
209374	Sale		Independent Property Group Gungahlin	2016-08-23T00:00:00	255000.0	PRIVATE TREATY	105.0
209374	Sale	21656	Independent Gungahlin	2015-07-30T00:00:00	239000.0	PRIVATE TREATY	
209377	Sale	26294	Impact Properties	2016-02-05T00:00:00	375000.0	PRIVATE TREATY	94.0
209379	Rental	32660	McGrath Estate Agents Property Management	2019-11-01T00:00:00	770.0	PER WEEK	22.0
209379	Sale	27748	Harcourts Belconnen	2019-08-01T00:00:00	935000.0	Listed - not sold	101.0
209381	Sale	27748	Harcourts Belconnen	2017-04-27T00:00:00	747000.0	PRIVATE TREATY	64.0
209382	Sale	14099	LJ Hooker Belconnen	2017-06-19T00:00:00	740000.0	PRIVATE TREATY	
209384	Sale	25211	Propertyentourage.com	2017-01-13T00:00:00	695000.0	PRIVATE TREATY	100.0
209386	Sale		Propertyentourage.com	2017-11-15T00:00:00	688000.0	PRIVATE TREATY	363.0
209387	Sale	2018-09-21T00:00:00	710000	PRIVATE TREATY			
209388	Sale		LJ Hooker Gungahlin	2019-09-11T00:00:00	815000.0	PRIVATE TREATY	148.0
209389	Sale	25211	Propertyentourage.com	2016-11-11T00:00:00	659000.0	PRIVATE TREATY	37.0
209397	Sale	25421	Shape Property	2016-02-19T00:00:00		PRIVATE TREATY	65.0
209398	Sale	17473	Ray White Canberra	2017-10-30T00:00:00	765000.0	PRIVATE TREATY	66.0
