StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
210769	Rental	14109	LJ Hooker Gungahlin	2018-11-18T00:00:00	700.0	PER WEEK	9.0
210772	Sale		inStyle Estate Agents	2017-10-30T00:00:00	790500.0	PRIVATE TREATY	46.0
210811	Sale	26294	Impact Properties	2017-05-16T00:00:00	797500.0	Listed - not sold	294.0
210816	Sale	2018-04-30T00:00:00	299950	PRIVATE TREATY			
210821	Sale	25440	CHC Affordable Housing	2018-12-06T00:00:00	306000.0	PRIVATE TREATY	81.0
210823	Sale	2018-09-26T00:00:00	303550	PRIVATE TREATY			
210827	Rental	30080	Harcourts Prime Residential	2019-03-14T00:00:00	0.0	PER WEEK	29.0
210829	Sale		buyMyplace	2018-09-20T00:00:00	440000.0	Listed - not sold	82.0
210858	Sale	2019-02-15T00:00:00	495000	PRIVATE TREATY			
210859	Sale	2019-08-08T00:00:00	630000	PRIVATE TREATY			
210864	Sale	31834	Illustrated Properties	2019-11-22T00:00:00	905000.0	PRIVATE TREATY	112.0
210883	Sale	10310	Luton Properties - Manuka	2019-01-07T00:00:00	545000.0	PRIVATE TREATY	220.0
210887	Sale	19982	Peter Blackshaw Real Estate Gungahlin	2018-10-23T00:00:00	799000.0	Listed - not sold	162.0
210892	Rental	25114	Leader Capital Real Estate	2019-10-31T00:00:00	860.0	PER WEEK	4.0
210893	Sale	2017-11-21T00:00:00	625000	PRIVATE TREATY			
210926	Sale		Trusted Realtors	2017-08-04T00:00:00	290000.0	PRIVATE TREATY	339.0
210928	Rental		Capital Partner Real Estate	2019-06-02T00:00:00	0.0	PER WEEK	20.0
210928	Rental		Capital Partner Real Estate	2018-05-20T00:00:00	620.0	PER WEEK	142.0
210928	Sale	2017-12-04T00:00:00	290000	PRIVATE TREATY			
210930	Rental	29726	Capital Partner Real Estate	2018-07-04T00:00:00	630.0	PER WEEK	48.0
210930	Sale	2017-11-30T00:00:00	290000	PRIVATE TREATY			
210932	Rental	19982	Peter Blackshaw Real Estate Gungahlin	2018-01-30T00:00:00	570.0	PER WEEK	13.0
210933	Sale		Trusted Realtors	2018-02-09T00:00:00	820000.0	PRIVATE TREATY	59.0
210934	Sale	20068	McGrath Dickson	2019-12-04T00:00:00	640000.0	PRIVATE TREATY	31.0
210935	Sale	27748	Harcourts Belconnen	2018-10-17T00:00:00	822500.0	PRIVATE TREATY	41.0
210935	Sale	2017-12-13T00:00:00	405000	PRIVATE TREATY			
210939	Sale	20068	McGrath Dickson	2019-07-18T00:00:00	765000.0	PRIVATE TREATY	96.0
210941	Rental	27748	Harcourts Belconnen	2019-09-29T00:00:00	0.0	PER WEEK	12.0
210943	Sale	14109	LJ Hooker Gungahlin	2018-10-18T00:00:00	875000.0	PRIVATE TREATY	55.0
210945	Sale	19982	Peter Blackshaw Real Estate Gungahlin	2019-01-15T00:00:00	555000.0	PRIVATE TREATY	
210949	Sale	29726	Capital Partner Real Estate	2018-04-30T00:00:00	806000.0	PRIVATE TREATY	39.0
210951	Sale	21656	Independent Gungahlin	2019-07-26T00:00:00	770000.0	PRIVATE TREATY	800.0
210955	Sale	2018-12-20T00:00:00	350000	PRIVATE TREATY			
210956	Sale	19982	Peter Blackshaw Real Estate Gungahlin	2019-08-06T00:00:00	741500.0	PRIVATE TREATY	335.0
210963	Sale		Peter Blackshaw Real Estate Tuggeranong Projects	2019-12-17T00:00:00		PRIVATE TREATY	99.0
210963	Sale	2019-01-10T00:00:00	860000	PRIVATE TREATY			
210967	Sale	15357	Civium Property Group	2019-08-28T00:00:00	973000.0	PRIVATE TREATY	360.0
210967	Sale	2017-05-16T00:00:00	435000	PRIVATE TREATY	174.0		
210997	Sale		Southern Property - MITCHELL	2018-11-28T00:00:00	840000.0	PRIVATE TREATY	281.0
210997	Sale	2017-08-02T00:00:00	480000	PRIVATE TREATY			
211000	Sale		Hayman Partners Projects	2019-05-17T00:00:00	1360000.0	PRIVATE TREATY	17.0
211002	Sale	2017-10-31T00:00:00	735000	PRIVATE TREATY			
211007	Sale	2019-01-29T00:00:00	540000	PRIVATE TREATY			
