StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
210769						670	0.0454	Unknown	Unknown
210772						670	0.0454	Unknown	Unknown
210808	2020-02-12T17:27:27.64	High	605000	705000	805000			Unknown	Unknown
210811	2020-02-12T17:27:27.64	High	635000	725000	815000	670	0.0454	Unknown	Unknown
210816						620	0.0433	Unknown	Unknown
210821								Unknown	Unknown
210823						620	0.0433	Unknown	Unknown
210827						670	0.0454	Unknown	Unknown
210829								Unknown	Unknown
210854								Unknown	Unknown
210858								Unknown	Unknown
210859						620	0.0433	Unknown	Unknown
210864	2019-11-22T00:00:00	RecentlySold	905000	905000	905000	670	0.0454	Unknown	Unknown
210883								Unknown	Unknown
210887						670	0.0454	Unknown	Unknown
210892						670	0.0454	Unknown	Unknown
210893								Unknown	Unknown
210926								Unknown	Unknown
210928						670	0.0454	Unknown	Unknown
210930						670	0.0454	Unknown	Unknown
210932								Unknown	Unknown
210933						670	0.0454	Unknown	Unknown
210934	2019-12-04T00:00:00	RecentlySold	640000	640000	640000			Unknown	Unknown
210935						670	0.0454	Unknown	Unknown
210937								Unknown	Unknown
210938								Unknown	Unknown
210939								Unknown	Unknown
210941								Unknown	Unknown
210943						670	0.0454	Unknown	Unknown
210945								Unknown	Unknown
210949						670	0.0454	Unknown	Unknown
210950						670	0.0454	Unknown	Unknown
210951						670	0.0454	Unknown	Unknown
210952								Unknown	Unknown
210953								Unknown	Unknown
210955								Unknown	Unknown
210956						670	0.0454	Unknown	Unknown
210963						670	0.0454	Unknown	Unknown
210964						670	0.0454	Unknown	Unknown
210967	2019-08-28T00:00:00	RecentlySold	975000	975000	975000	670	0.0454	Unknown	Unknown
210997						670	0.0454	Unknown	Unknown
211000								Unknown	Unknown
211002								Unknown	Unknown
211006						620	0.0433	Unknown	Unknown
211007								Unknown	Unknown
211028								Unknown	Unknown
211031						620	0.0433	Unknown	Unknown
211043								Unknown	Unknown
211049						670	0.0454	Unknown	Unknown
211053								Unknown	Unknown
211055								Unknown	Unknown
211056						670	0.0454	Unknown	Unknown
211109	2020-02-12T17:27:27.64	High	640000	745000	850000	670	0.0454	Unknown	Unknown
211110	2020-02-12T17:27:27.64	High	640000	745000	850000	670	0.0454	Unknown	Unknown
211111	2020-02-12T17:27:27.64	High	640000	745000	850000			Unknown	Unknown
211114								Unknown	Unknown
211134						670	0.0454	Unknown	Unknown
211139								Unknown	Unknown
211144						670	0.0454	Unknown	Unknown
211146								Unknown	Unknown
211173								Unknown	Unknown
211178						670	0.0454	Unknown	Unknown
211182						670	0.0454	Unknown	Unknown
211186								Unknown	Unknown
211189								Unknown	Unknown
211191	2020-02-12T17:27:27.64	High	695000	785000	875000	670	0.0454	Unknown	Unknown
211194						620	0.0433	Unknown	Unknown
211196								Unknown	Unknown
211199								Unknown	Unknown
211200						620	0.0433	Unknown	Unknown
211201						670	0.0454	Unknown	Unknown
211202								Unknown	Unknown
211203						670	0.0454	Unknown	Unknown
211206						670	0.0454	Unknown	Unknown
211207	2019-08-21T00:00:00	RecentlySold	690000	690000	690000	620	0.0433	Unknown	Unknown
211208						670	0.0454	Unknown	Unknown
211209	2019-08-22T00:00:00	RecentlySold	700000	700000	700000	670	0.0454	Unknown	Unknown
211210								Unknown	Unknown
211211	2019-09-24T00:00:00	RecentlySold	685000	685000	685000	620	0.0433	Unknown	Unknown
211212								Unknown	Unknown
211213						670	0.0454	Unknown	Unknown
211214						620	0.0433	Unknown	Unknown
211217						670	0.0454	Unknown	Unknown
211218						670	0.0454	Unknown	Unknown
211219						670	0.0454	Unknown	Unknown
211228						670	0.0454	Unknown	Unknown
211229	2019-09-02T00:00:00	RecentlySold	815000	815000	815000	670	0.0454	Unknown	Unknown
211230						670	0.0454	Unknown	Unknown
211231								Unknown	Unknown
211232						620	0.0433	Unknown	Unknown
211233						670	0.0454	Unknown	Unknown
211234						620	0.0433	Unknown	Unknown
211235						670	0.0454	Unknown	Unknown
211236						620	0.0433	Unknown	Unknown
211238								Unknown	Unknown
211239								Unknown	Unknown
211240								Unknown	Unknown
211241								Unknown	Unknown
211242								Unknown	Unknown
211243						670	0.0454	Unknown	Unknown
211246	2020-02-12T17:27:27.64	High	670000	780000	890000			Unknown	Unknown
211247						620	0.0433	Unknown	Unknown
211251								Unknown	Unknown
211252						670	0.0454	Unknown	Unknown
211263								Unknown	Unknown
211266						670	0.0454	Unknown	Unknown
211267								Unknown	Unknown
211295	2020-02-12T17:27:27.64	High	705000	770000	835000	670	0.0454	Unknown	Unknown
211296	2020-02-12T17:27:27.64	High	685000	795000	905000	620	0.0433	Unknown	Unknown
211298								Unknown	Unknown
211299	2020-02-12T17:27:27.64	High	650000	755000	860000	670	0.0454	Unknown	Unknown
211301						620	0.0433	Unknown	Unknown
211306	2020-02-12T17:27:27.64	High	665000	765000	865000	670	0.0454	Unknown	Unknown
211308								Unknown	Unknown
211332								Unknown	Unknown
211333								Unknown	Unknown
211334								Unknown	Unknown
211335								Unknown	Unknown
211336								Unknown	Unknown
211337						670	0.0454	Unknown	Unknown
211341	2019-09-19T00:00:00	RecentlySold	675000	675000	675000			Unknown	Unknown
211342								Unknown	Unknown
211343								Unknown	Unknown
211348								Unknown	Unknown
211350						670	0.0454	Unknown	Unknown
211352								Unknown	Unknown
211363						670	0.0454	Unknown	Unknown
211367						670	0.0454	Unknown	Unknown
